Sample_ID,class,miR-30a-5p,miR-429,miR-519a-3p,miR-212-3p,miR-542-5p,miR-329-3p,miR-424-3p,miR-216a-3p,miR-128-3p,miR-20b-5p,miR-20a-5p,miR-410-3p,miR-335-3p,miR-339-3p,miR-205-5p,miR-210-3p,miR-92b-3p,miR-216a-5p,miR-216b-5p,miR-124-3p,miR-23c,miR-124-5p,miR-6727-5p,miR-1251-3p,miR-22-3p,miR-216b-3p,miR-4423-5p,miR-4423-3p,miR-222-3p,miR-5010-3p,miR-219a-1-3p,miR-4324,miR-217,miR-320e,miR-6738-5p,miR-92a-3p,miR-200b-3p,miR-141-3p,miR-141-5p,miR-195-3p,miR-34c-5p,miR-1915-3p,miR-375,miR-139-5p,miR-30a-3p,miR-15b-3p,miR-17-3p,miR-17-5p,miR-6516-3p,miR-6516-5p,miR-182-5p,miR-7-2-3p,miR-200c-3p,miR-139-3p,miR-34c-3p,miR-200a-5p,miR-200a-3p,miR-1307-5p,miR-19b-3p,miR-130b-5p,miR-346,miR-138-5p,miR-19b-1-5p,miR-769-5p,miR-19a-3p,miR-34a-5p,miR-34b-3p,miR-34b-5p,miR-135a-5p,miR-132-3p,miR-1237-5p,miR-328-3p,miR-491-5p,miR-676-3p,miR-29a-3p,miR-1180-3p,miR-3182,miR-106b-5p,miR-106b-3p,miR-101-5p,miR-101-3p,miR-873-5p,miR-96-5p,miR-301b,miR-30c-5p,miR-30c-2-3p,miR-887-3p,miR-4705,miR-93-3p,miR-93-5p,miR-30b-5p,miR-4636,miR-31-5p,miR-487a-3p,miR-183-5p,miR-3180-3p,miR-2681-3p,miR-488-5p,miR-25-3p,miR-25-5p
104-7316-3571_1,Craniopharyngioma,19629,1790,3,130,125,191,177,0,1778,4572,9315,236,10,36,99020,3048,4441,20,7,22,1033,0,9570,0,61502,0,2,18,14972,22,2,2970,10,1075,713,11449,8720,19016,97,72,1417,3258,808,512,1419,199,952,9878,84,244,1014,29,12763,19,158,100,8304,132,32052,109,8,483,122,169,10221,7082,247,404,14,983,11956,1140,110,7,56082,92,43,10412,373,632,29053,151,1851,84,27039,89,204,1,171,7717,22733,8,16634,108,451,232,1,4,9656,15
104-7316-3070_1,Craniopharyngioma,8655,2714,2,49,25,68,57,0,885,2522,4399,151,11,26,164609,2950,2614,11,2,18,2237,1,7971,3,55059,0,5,10,12100,12,2,1491,5,875,361,7256,14666,30983,185,52,483,2360,198,235,541,87,465,5197,83,145,3507,5,21556,11,69,133,14001,92,13589,85,7,417,51,127,3756,9894,155,232,30,424,5915,378,67,2,36442,62,44,5859,248,135,9060,21,6932,82,13959,26,56,7,151,5141,12327,7,34385,32,1766,178,1,0,4999,12
104-7316-949_1,Craniopharyngioma,14729,4977,2,54,44,248,52,0,2846,3690,5461,244,22,34,319131,2656,12264,8,0,110,2541,2,1649,2,19221,3,1,13,21658,15,5,7162,18,1505,93,21106,31549,44381,247,63,394,248,531,238,892,40,1580,6687,67,211,8071,4,24269,4,38,177,25810,136,33023,204,76,1208,112,280,5347,13970,261,238,343,641,3665,2175,125,14,38968,240,54,9715,391,414,20701,7,19924,88,37187,115,62,44,282,6368,33561,7,24643,65,3630,135,13,47,8814,27
104-7316-1775_1,Craniopharyngioma,8753,3755,2,57,14,160,18,2,1335,2691,4607,225,3,51,313611,2482,7265,9,1,17,2259,1,2570,1,16163,1,3,15,15705,13,6,5893,9,1067,186,17518,23591,39937,220,54,290,528,264,227,490,51,1185,5644,57,250,7105,6,22883,4,43,133,19833,122,24131,130,19,899,108,182,3816,7387,193,169,109,357,3921,1259,139,5,19138,174,26,7291,326,168,9265,7,16490,53,21778,52,21,27,213,5109,21209,9,16939,48,3223,147,5,13,6293,17
104-7316-341_1,Craniopharyngioma,19697,4454,3,369,74,1491,94,1,9945,4770,8556,1494,12,94,365620,6281,17152,50,14,5059,2026,27,2304,7,34776,0,25,48,15230,70,10,4484,23,2075,119,25279,28249,47232,175,91,1363,328,206,1458,1454,80,1562,9642,70,368,8710,55,30648,45,104,160,23668,239,33277,314,248,4637,129,549,5584,10525,340,434,389,3412,5146,2893,417,5,45256,692,13,11750,525,440,12252,247,18519,164,41392,116,92,46,403,10609,38643,18,29082,561,4534,120,8,79,10024,37
104-7316-2183_1,Craniopharyngioma,18995,3319,4,208,41,485,78,0,3822,3569,6448,470,14,107,310601,5317,16944,31,5,655,1469,5,4058,4,44521,0,18,18,38091,42,4,5004,27,1776,288,21014,21836,39246,171,128,764,552,239,574,1483,44,1168,7213,55,241,6534,4,23579,11,89,144,18018,173,26344,200,150,3161,95,413,4916,18699,273,337,228,1737,6731,2044,261,8,49502,485,19,10086,431,302,11459,39,13558,101,39439,138,46,71,354,7877,27841,6,32045,165,2863,184,9,40,8954,23
104-7316-1748_1,Craniopharyngioma,2579,635,0,109,41,71,57,0,555,2799,7366,111,2,12,71841,445,3376,4,2,55,111,0,845,1,8337,0,2,4,3606,16,0,497,1,305,45,12035,4473,6742,48,23,88,118,5760,188,89,103,513,7499,14,60,841,70,4344,1,8,34,3693,33,14938,43,1,56,29,41,3956,912,42,25,62,1125,838,283,35,4,6914,72,0,6368,330,148,5635,7,1436,23,6667,10,13,3,100,5976,7866,0,5910,41,508,9,2,4,7544,5
104-7316-2671_1,Craniopharyngioma,5955,2721,0,441,118,469,96,0,1428,2345,4950,949,7,46,27053,476,2586,24,5,56,251,1,2983,3,21074,1,4,3,3247,14,1,778,9,356,250,7266,12102,18442,155,30,131,632,26822,379,394,95,554,5355,19,104,4229,501,10203,11,15,135,12869,46,13610,45,2,317,34,147,3931,1663,31,56,165,3939,4252,655,94,1,23276,251,5,6346,239,224,7647,29,7749,52,10181,28,42,2,109,5008,12355,8,3745,228,2758,52,0,7,5437,9
104-7316-166_1,Craniopharyngioma,24063,1071,0,115,244,291,185,0,6704,3081,4789,335,11,63,68510,1318,34138,31,1,409,717,28,2627,0,53677,0,69,144,43530,27,2,3956,30,1618,227,19508,6764,10158,62,176,1866,353,671,458,2214,71,760,5518,36,156,1393,25,6225,21,163,53,6262,191,19261,258,359,7708,60,389,4245,19398,339,632,222,1242,4590,2225,246,4,49177,785,44,7401,325,321,11711,10,3443,119,45046,208,96,126,237,6672,22520,17,6713,90,730,115,18,79,7255,20
104-7316-380_1,Craniopharyngioma,10727,4756,11,77,28,175,56,10,1528,3370,6934,191,14,29,276403,2281,5655,21,11,118,1545,8,3844,8,39409,3,5,9,17011,27,17,4303,31,1429,283,16046,22462,37194,215,107,738,824,110,618,557,87,1238,7684,90,356,3553,13,23172,25,94,168,20853,159,26346,160,15,718,101,195,5457,8886,228,245,94,578,5826,1470,180,9,42401,157,26,9576,366,331,12776,41,7172,113,24772,72,41,18,301,8034,25632,34,12752,95,1768,131,3,16,8584,34
104-7316-124_1,Craniopharyngioma,9023,4804,2,55,7,303,11,0,1148,3186,5981,256,14,54,521055,2568,7282,1,2,63,1995,0,1187,0,5508,0,0,3,24517,12,5,4651,21,1943,66,24131,41712,54149,284,37,168,239,114,329,221,76,1792,6334,47,273,7658,4,28987,13,30,201,28811,126,36044,187,1,436,211,304,5391,8421,202,108,32,262,2191,2227,78,45,45347,115,0,9409,425,545,20906,12,16682,56,40298,37,31,1,248,5175,32153,4,5573,87,2746,43,0,0,9244,27
104-7316-2157_1,Craniopharyngioma,16150,2678,1,91,45,214,48,0,4528,2557,4076,202,10,58,216845,4072,16965,19,1,192,1425,4,3360,1,36861,1,17,38,32692,35,3,6594,26,1456,310,17935,17051,23719,123,100,610,519,145,351,1277,63,790,4901,41,270,3409,7,15181,6,88,112,13490,218,17344,229,253,3152,84,276,3029,15924,394,309,285,810,6578,2625,201,3,37104,636,97,6433,279,293,9986,7,6970,63,35820,113,85,59,213,5209,22951,9,21967,52,1552,207,11,51,5993,14
104-7316-1751_1,Craniopharyngioma,10174,34,2,150,249,1216,511,0,5150,5325,7766,457,13,51,119,1171,20312,173,35,8669,284,147,7099,1,30877,0,7,14,12509,30,9,2046,76,862,334,20007,113,159,0,90,257,654,37,499,754,95,1045,9416,34,137,922,23,102,11,48,4,159,141,26957,770,226,7465,93,188,10244,7863,142,108,863,1298,5984,1032,160,1,25993,330,74,12863,676,211,8255,4,1666,521,18710,98,65,77,279,11889,13321,19,660,353,453,115,32,33,14479,71
112-7316-164_1,Craniopharyngioma,4597,15,0,46,13,99,41,0,696,3697,11938,61,1,32,451,446,4040,12,2,10,90,1,5306,4,33764,0,1,2,7568,18,1,288,5,633,617,18517,78,149,3,102,118,935,125,328,330,114,798,11766,14,58,211,3,55,12,21,3,87,43,26456,68,9,56,60,60,7952,7380,25,34,2,411,7024,623,46,3,22154,35,2,9419,475,299,9313,1,161,49,7936,18,29,2,142,10126,7997,0,592,33,92,71,0,2,13035,10
112-7316-1773_1,Craniopharyngioma,9411,27,4,99,49,210,165,5,1329,1849,4221,268,7,60,253,1455,2958,168,76,28,186,8,17729,5,105580,4,22,25,14174,31,5,492,118,844,676,10008,118,179,4,127,194,8473,17,645,672,77,870,5054,168,809,52,6,96,25,37,10,106,179,18910,250,21,1010,66,165,5236,27719,177,117,7,833,16037,1369,100,7,56644,114,10,5248,291,343,8155,22,113,155,17707,76,69,12,179,5567,14522,4,2664,104,30,233,2,5,6546,25
112-7316-226_1,Craniopharyngioma,19513,2848,5,136,57,244,112,0,3459,3200,7355,326,4,42,205999,3730,15675,31,14,262,699,6,4486,2,50581,2,12,14,27398,28,6,1292,27,1514,231,16528,15593,29707,163,96,2468,726,866,888,1770,78,1083,7733,45,288,4224,20,17755,32,309,129,14540,123,23960,191,99,2290,85,234,5582,16239,305,604,201,1068,5289,2085,258,4,54427,425,6,9594,506,358,9993,80,8549,77,36138,133,59,43,270,9087,28796,6,15886,122,2089,105,14,33,9730,23
104-7316-3069_1,Ependymoma,27049,26,1,159,42,79,67,0,5462,4847,6195,43,11,170,5,2449,53784,93,49,3245,722,27,3816,35,30871,5,2273,2323,1670,23,16,5539,78,2297,313,28072,174,87,2,130,49919,504,3196,445,2412,171,704,8699,68,348,95,11,40,28,4086,10,159,304,22240,319,149,2862,86,628,5826,5692,3759,12817,6374,1121,7906,4013,335,58,31415,2996,75,10448,463,152,9950,6,66,298,51699,271,850,29,380,11738,27744,4,12557,14,48,185,10,71,14173,50
104-7316-3299_1,Ependymoma,13374,6,1,146,25,1478,33,0,1163,543,803,1432,19,75,8,4462,25937,6,2,113,205,0,1316,11,12284,0,8,17,1505,19,17,4323,6,1869,182,15149,26,16,1,184,4474,211,16,265,1713,23,660,1101,22,101,5,1,12,16,700,1,39,159,8527,181,76,33,37,180,2028,5013,526,1088,1388,1054,2417,1958,31,17,36699,1019,6,4905,246,448,11191,0,6,120,27539,87,161,1,115,1262,21806,1,38,281,2,73,2,98,4062,12
104-7316-111_1,Ependymoma,28360,55,5,419,11,377,7,2,5454,4667,7144,404,19,224,8,2710,94511,18,0,119,187,4,2062,55,21906,3,228,435,752,39,45,5512,26,4389,153,49912,193,112,11,342,32800,268,678,480,1903,215,1464,10381,91,318,85,5,53,12,4021,7,150,259,20880,384,559,222,94,877,6777,34620,2992,7537,12145,3070,2198,5193,187,178,98483,5091,40,17789,949,215,7431,8,55,334,56683,190,1219,10,624,18928,61236,3,15,105,26,44,0,330,18437,54
104-7316-872_1,Ependymoma,18561,15,2,161,68,589,80,0,3346,3317,4226,569,5,156,16,1010,47130,17,2,1395,381,12,2974,33,37011,0,206,342,7975,26,31,4595,31,1184,232,30348,108,99,7,119,6658,374,272,447,1400,96,1018,5601,81,190,89,15,55,12,879,15,146,272,21380,525,200,348,70,345,6112,10328,782,1642,7536,1396,5773,2696,296,21,56804,1764,120,8262,451,219,9953,2,148,452,33311,143,225,6,215,5822,21605,3,340,165,40,93,2,96,9077,21
104-7316-2757_1,Ependymoma,31188,63,14,91,42,108,150,24,2887,2203,4554,80,28,93,50,2345,80518,146,55,413,214,18,886,47,23177,19,612,600,2203,60,36,1622,66,1133,55,18049,439,70,27,130,290061,91,16210,265,2214,62,692,4872,63,278,57,34,58,40,18689,20,369,207,18030,297,158,3200,81,1031,3593,13002,20499,78528,2202,1096,1533,6050,303,42,63165,5449,14,5304,248,305,7161,49,32,138,83858,213,567,60,150,7215,57537,27,17296,30,28,35,28,41,7446,23
104-7316-3_1,Ependymoma,29988,106,2,118,26,122,47,4,3791,1299,2628,163,13,62,1039,2192,80418,6,11,3912,416,26,1630,15,18420,6,469,833,1379,30,6,1781,22,1138,145,14587,1116,96,3,142,249385,152,8980,647,2715,17,396,2922,73,414,23,15,44,22,17986,18,835,213,10583,149,80,1559,40,913,2317,17552,16250,58653,2662,1154,1859,5791,370,25,70794,3387,15,6447,307,479,10049,134,20,80,57726,285,264,20,211,8144,29620,3,1642,45,7,50,10,63,10784,23
104-7316-189_1,Ependymoma,19845,5,0,266,8,1970,19,0,6737,6748,12877,2123,11,173,100,4541,63434,8,6,9902,628,67,4054,63,17072,0,76,88,2599,55,50,3048,19,2527,136,42192,47,26,4,346,5899,344,16,179,1890,146,2658,16019,82,585,35,19,26,9,786,2,82,222,49281,2178,309,134,241,904,17540,14868,557,1279,6267,1833,4390,3246,222,181,42251,1925,9,20651,1385,237,6063,4,43,2892,43076,170,389,5,638,18716,45899,9,6,290,11,92,1,125,22115,72
104-7316-130_1,Ependymoma,17114,53,6,529,449,497,439,0,16704,5956,9204,385,11,125,5,7325,8417,51,8,12215,378,191,4712,2,38136,0,2,3,3995,28,16,1984,24,1803,226,15273,260,289,1,59,589,716,112,2056,1491,163,1226,11113,107,586,645,47,165,51,112,12,224,178,28548,942,179,10724,171,496,5779,23405,181,252,38,5425,6581,3516,274,18,56884,387,12,17538,789,497,11022,39,1196,759,37709,118,164,25,714,19756,40352,40,478,145,400,196,9,247,7662,49
104-7316-160_1,Ependymoma,34796,61,1,150,24,173,61,2,4288,6358,10624,128,10,167,8,4104,69907,17,4,20,578,2,3509,16,49681,1,172,294,3446,33,46,5100,41,4870,244,33745,353,69,4,281,52046,305,2531,488,3184,121,1383,12215,54,284,16,12,46,10,4020,3,349,346,35323,404,211,136,125,697,9500,14536,4053,14534,4445,1264,4835,5329,348,78,39129,2920,19,14080,549,248,9700,0,22,243,71749,358,646,17,498,15610,39138,2,24321,29,9,71,6,3,16800,41
