Sample_ID,class,miR-135a-5p,miR-106b-5p,miR-93-3p,miR-205-5p,miR-93-5p,miR-200c-3p,miR-200a-3p,miR-19a-3p,miR-25-3p,miR-301b,miR-141-3p,miR-139-5p,miR-34c-5p,miR-34b-5p,miR-346,miR-217,miR-335-3p,miR-128-3p,miR-106b-3p,miR-210-3p,miR-873-5p,miR-216b-5p,miR-216a-5p,miR-4423-3p,miR-4423-5p
104-7316-872_1,Ependymoma,7536,8262,215,16,5822,55,146,6112,9077,452,99,447,6658,1642,200,31,5,3346,451,1010,2,2,17,342,206
104-7316-2757_1,Ependymoma,2202,5304,150,50,7215,58,369,3593,7446,138,70,265,290061,78528,158,66,28,2887,248,2345,49,55,146,600,612
104-7316-3_1,Ependymoma,2662,6447,211,1039,8144,44,835,2317,10784,80,96,647,249385,58653,80,22,13,3791,307,2192,134,11,6,833,469
104-7316-189_1,Ependymoma,6267,20651,638,100,18716,26,82,17540,22115,2892,26,179,5899,1279,309,19,11,6737,1385,4541,4,6,8,88,76
104-7316-130_1,Ependymoma,38,17538,714,5,19756,165,224,5779,7662,759,289,2056,589,252,179,24,11,16704,789,7325,39,8,51,3,2
104-7316-160_1,Ependymoma,4445,14080,498,8,15610,46,349,9500,16800,243,69,488,52046,14534,211,41,10,4288,549,4104,0,4,17,294,172
104-7316-394_1,Ependymoma,4131,9706,346,6,11821,22,294,6436,10839,280,46,298,20319,4773,256,149,10,3854,448,23516,1,161,310,448,245
104-7316-198_1,Ependymoma,3717,11816,423,6,12116,39,97,7523,17181,114,41,1417,12542,3009,97,15,6,3080,398,1233,17,2,11,1292,670
104-7316-47_1,Ependymoma,2813,19243,779,2,22842,5,100,7247,15120,628,15,1200,99,39,54,12,11,6756,954,5431,18,0,10,36,14
104-7316-384_1,Ependymoma,2251,9861,305,1,10135,36,325,6452,10502,314,85,342,59642,13779,302,19,7,2861,470,28504,1,4,16,392,273
104-7316-3319_1,Ependymoma,2506,9644,244,2,9819,8,168,6880,11230,160,29,325,40795,8229,159,22,8,2446,348,10124,275,3,4,533,275
104-7316-2959_1,Ependymoma,4251,10765,435,1,13958,63,110,2965,11934,472,84,244,6664,1478,919,625,7,2901,713,6999,5,797,1449,88,53
104-7316-2666_1,Ependymoma,3683,30681,1142,49,22567,28,842,18736,24870,6456,36,280,1372,302,838,73,7,3539,1339,6994,0,43,119,144,86
104-7316-3300_1,Ependymoma,3260,12933,482,7,13815,48,154,7229,11078,1096,81,474,7400,1571,160,67,66,2563,756,10605,6,49,200,260,190
104-7316-1886_1,Ependymoma,4399,9601,325,2,10318,25,150,5615,12036,352,30,304,21555,4568,49,41,6,3292,424,3961,2,1,50,275,144
104-7316-2170_1,Ependymoma,1227,11288,259,1,9588,15,122,3208,12760,8,37,260,353,111,52,24,10,1460,613,6288,0,3,18,336,113
104-7316-3292_1,Ependymoma,1102,5212,233,1,7449,19,117,2274,5614,515,28,133,2939,560,174,25,10,1902,334,5608,5,20,46,140,126
104-7316-2182_1,Ependymoma,1554,9164,234,3,10591,49,235,5818,10830,110,43,337,64347,15398,99,29,5,2157,462,2286,1,19,32,214,158
104-7316-451_1,Ependymoma,2900,51858,1467,12,37352,8,282,16116,42172,4341,17,484,467,125,95,11,35,4854,1532,3819,7,2,9,108,86
104-7316-443_1,Ependymoma,1567,9680,333,13,7278,24,459,7650,11026,237,33,534,413,125,17,110,7,3593,490,9330,16,6,218,240,149
104-7316-889_1,Ependymoma,4492,16610,566,4,17699,54,316,10946,17960,285,74,1121,15077,3324,184,63,7,6435,724,6857,87,13,97,331,177
104-7316-873_1,Ependymoma,7410,17712,700,16,21774,102,211,13100,20171,734,110,868,31154,7954,327,40,24,10728,774,3621,4,8,19,498,264
104-7316-2648_1,Ependymoma,5525,16214,430,17,14578,130,595,6159,23505,37,267,1794,46994,9544,156,11,3,3888,736,1256,1,2,7,2610,1860
104-7316-174_1,Ependymoma,328,7428,144,1,7506,18,46,4577,8347,35,28,165,121,20,15,92,0,579,338,930,0,80,190,31,15
104-7316-455_1,Ependymoma,842,11882,284,8,11361,49,127,9296,11841,282,71,737,3418,718,51,12,9,2588,513,7490,12,6,17,187,114
104-7316-1784_1,Ependymoma,2112,16212,666,7,20367,10,443,13017,21408,348,46,107,9101,2077,24,32,7,3100,873,1985,15,22,22,170,60
104-7316-2156_1,Ependymoma,6584,22375,635,2,14970,43,218,11425,18974,1341,60,383,7483,1534,128,1465,1,5135,616,1984,9,1970,3322,637,274
