,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
20,104-7316-3571_1,Craniopharyngioma,10,99020,451,983,1014,36,0,1790,952,9315,199,151,3048,1,14,483,11449,8,7082,19,247,512,404,19016,1851,158,9656,1417,20,1419,7717,32052,7,184,8304,3270,18,0,3258,2,373,10,1778,12763,84,18783,171,808,10412,8720
21,104-7316-3070_1,Craniopharyngioma,11,164609,1766,424,3507,26,0,2714,465,4399,87,21,2950,7,30,417,7256,7,9894,11,155,235,232,30983,6932,69,4999,483,11,541,5141,13589,2,352,14001,1498,10,0,2360,5,248,5,885,21556,82,11649,151,198,5859,14666
22,104-7316-949_1,Craniopharyngioma,22,319131,3630,641,8071,34,0,4977,1580,5461,40,7,2656,44,343,1208,21106,76,13970,4,261,238,238,44381,19924,38,8814,394,8,892,6368,33023,0,489,25810,3047,13,3,248,1,391,18,2846,24269,88,17232,282,531,9715,31549
23,104-7316-1775_1,Craniopharyngioma,3,313611,3223,357,7105,51,2,3755,1185,4607,51,7,2482,27,109,899,17518,19,7387,4,193,227,169,39937,16490,43,6293,290,9,490,5109,24131,1,444,19833,1878,15,1,528,3,326,9,1335,22883,53,9760,213,264,7291,23591
24,104-7316-341_1,Craniopharyngioma,12,365620,4534,3412,8710,94,1,4454,1562,8556,80,247,6281,46,389,4637,25279,248,10525,45,340,1458,434,47232,18519,104,10024,1363,50,1454,10609,33277,14,487,23668,1579,48,0,328,25,525,23,9945,30648,164,19333,403,206,11750,28249
25,104-7316-2183_1,Craniopharyngioma,14,310601,2863,1737,6534,107,0,3319,1168,6448,44,39,5317,71,228,3161,21014,150,18699,11,273,574,337,39246,13558,89,8954,764,31,1483,7877,26344,5,403,18018,1254,18,0,552,18,431,27,3822,23579,101,22970,354,239,10086,21836
26,104-7316-1748_1,Craniopharyngioma,2,71841,508,1125,841,12,0,635,513,7366,103,7,445,3,62,56,12035,1,912,1,42,188,25,6742,1436,8,7544,88,4,89,5976,14938,2,80,3693,228,4,0,118,2,330,1,555,4344,23,3647,100,5760,6368,4473
27,104-7316-2671_1,Craniopharyngioma,7,27053,2758,3939,4229,46,0,2721,554,4950,95,29,476,2,165,317,7266,2,1663,11,31,379,56,18442,7749,15,5437,131,24,394,5008,13610,5,248,12869,393,3,1,632,4,239,9,1428,10203,52,3873,109,26822,6346,12102
28,104-7316-166_1,Craniopharyngioma,11,68510,730,1242,1393,63,0,1071,760,4789,71,10,1318,126,222,7708,19508,359,19398,21,339,458,632,10158,3443,163,7255,1866,31,2214,6672,19261,1,120,6262,1332,144,0,353,69,325,30,6704,6225,119,27633,237,671,7401,6764
29,104-7316-380_1,Craniopharyngioma,14,276403,1768,578,3553,29,10,4756,1238,6934,87,41,2281,18,94,718,16046,15,8886,25,228,618,245,37194,7172,94,8584,738,21,557,8034,26346,11,456,20853,1624,9,3,824,5,366,31,1528,23172,113,17906,301,110,9576,22462
