,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
81,104-7316-2901_1,Ganglioglioma,5,17,14,1600,28,168,9,24,896,5352,93,41,663,9,52,5820,12598,167,35575,14,76,540,111,121,29,14,8313,175,455,1847,8837,21749,8,2,123,1019,45,2,256,13,484,160,8883,70,169,19067,321,8,10227,100
82,112-7316-3572_1,Ganglioglioma,9,20,89,6387,123,587,1,3,1790,10438,17,647,1034,31,17,20890,26401,1061,31043,194,153,8013,211,149,19,287,10755,1290,76,1683,14354,19934,31,8,213,2241,6,1,455,2,646,40,50479,119,204,22595,334,4,8983,55
83,112-7316-905_1,Ganglioglioma,13,20,27,17587,79,595,3,5,1260,6802,5,2440,701,14,56,39023,13126,635,20193,1371,53,35480,16,122,34,27,9208,151,33,1814,13746,14942,0,7,205,1611,3,2,374,3,666,15,123217,102,206,25672,441,37,10041,69
84,112-7316-1854_1,Ganglioglioma,4,27,14,17600,30,462,4,9,1879,9306,8,1330,1314,5,64,27503,25126,1079,30750,580,121,17597,168,123,10,197,10345,1046,133,1904,15968,17097,51,17,174,1421,27,1,403,3,745,69,94782,100,216,19455,507,25,9356,70
85,112-7316-3060_1,Ganglioglioma,6,19,30,3717,84,857,4,6,1589,12811,26,20,1978,40,66,7888,27701,804,106708,63,98,2260,123,182,14,106,20478,732,827,3096,26188,17927,49,12,214,2536,68,9,91,9,1163,299,15287,203,195,34011,604,7,16514,98
86,112-7316-321_1,Ganglioglioma,4,19,16,20831,28,323,0,0,1330,7382,6,3631,994,6,35,48076,16883,1024,3612,1183,59,35559,70,32,7,102,6012,478,49,1300,9914,16658,3,8,146,1166,5,0,217,3,389,17,187539,44,172,8357,348,49,6637,63
87,112-7316-101_1,Ganglioglioma,6,12,26,9937,50,512,0,3,1623,8736,2,1620,693,11,15,39253,19622,1014,27873,837,37,24084,53,225,9,39,9217,349,75,1864,13071,22376,5,0,205,1713,39,0,746,1,747,27,84221,221,190,32750,372,180,9768,47
88,112-7316-2760_1,Ganglioglioma,1,14,20,22772,66,639,3,10,1809,9957,13,3644,1468,14,11,73009,23480,1336,4968,1930,44,57252,66,66,17,97,7674,442,54,1158,13430,17609,15,26,212,1658,7,2,513,13,576,26,203755,37,195,8679,336,49,7915,39
89,112-7316-373_1,Ganglioglioma,2,18,4393,12361,9411,329,1,2,1539,16898,20,272,2205,6,400,12321,45335,279,25308,237,227,7589,359,51,1693,451,25324,2261,44,1641,30214,26272,23,1,40,2946,80,0,183,10,1408,24,32999,52,726,9676,924,29,19137,12
90,112-7316-319_1,Ganglioglioma,12,44,168,3989,475,471,2,38,1119,7797,8,724,447,21,20,9862,18836,513,2164,329,82,8552,82,28,146,146,6780,617,46,587,11779,10289,28,9,53,769,16,14,1792,4,419,58,37973,37,83,6246,310,43,6216,18
91,104-7316-212_1,HGAT,15,12,179,3904,246,108,8,58,1136,8475,130,47,13956,43,32,8124,13807,249,26607,49,174,1692,244,161,395,102,9154,533,52,1372,18299,24430,9,5,392,1966,8,5,421,7,954,38,11615,134,878,12723,613,74,17484,319
92,104-7316-870_1,HGAT,2,5,60,2911,172,107,0,19,917,8001,88,11,478,40,22,1315,17559,181,16825,47,83,1065,61,108,197,3,10304,53,14,2272,11165,20677,0,7,173,619,4,0,180,0,519,25,11610,99,123,12151,269,9,10919,117
93,104-7316-388_1,HGAT,10,7,356,1858,639,75,4,23,993,5006,186,4,1051,52,516,27391,18145,260,5453,13,70,589,76,149,1080,28,6394,233,277,844,8115,24950,113,4,146,2223,4,3,239,8,529,123,7769,134,553,9634,325,23,11408,82
94,104-7316-2176_1,HGAT,9,3,39,1879,103,127,6,21,768,4868,48,4,995,127,60,6182,14156,533,24627,132,88,3885,98,102,120,18,11000,166,595,2874,12143,22724,286,3,73,925,6,0,719,0,487,289,20701,64,149,19684,398,1,11071,67
95,104-7316-1789_1,HGAT,5,13,217,4110,683,298,0,40,1210,8817,210,496,3922,22,985,13716,23410,335,6722,298,218,11183,395,815,854,215,10170,1672,23,1627,11860,25429,6,12,281,1930,198,0,245,112,427,16,43884,514,573,34254,280,11,10242,267
96,104-7316-37_1,HGAT,7,2,129,1158,288,81,141,7,1939,20256,99,959,2074,45,836,1782,30416,45,3997,107,65,2444,35,47,463,17,26348,166,15113,450,28473,59782,9057,2,18,3687,4,118,291,4,1111,6437,7701,22,753,12800,881,16,27513,23
97,104-7316-195_1,HGAT,6,47,29,4176,173,116,2,11,1449,9653,133,20,270,55,62,7258,21675,218,5100,27,154,903,58,80,152,11,23272,105,80,485,19484,32297,0,5,86,5118,0,0,194,2,1361,38,10040,74,1139,18824,618,15,24602,98
98,104-7316-2146_1,HGAT,7,463,2528,2016,3409,180,4,1900,397,2186,64,3,902,8,16532,19,16733,289,38433,51,1388,1222,4700,182,6393,1674,12386,20589,51,1625,4770,14163,35,228,10859,591,470,1,286,136,350,57,3847,110,270,18837,236,4294,8263,7991
99,104-7316-1774_1,HGAT,22,20,6198,8421,10724,220,40,72,958,3628,42,66,15906,13,88,12664,17954,454,29019,121,198,3517,96,256,16892,9,13452,112,2486,828,6892,21330,23,9,342,2797,23,0,1165,7,746,862,19112,162,736,21178,299,34,11939,291
100,104-7316-2152_1,HGAT,6,12,242,3989,583,196,2,16,1327,9835,212,37,773,56,611,1479,20590,199,8689,15,93,1050,45,340,1077,5,17054,90,80,1063,13858,34752,25,4,109,2315,1,0,170,1,532,59,8090,231,439,37708,483,49,13933,101
101,104-7316-2594_1,HGAT,4,8,1248,4269,3312,189,3,8,2265,20582,164,14,1105,98,64,24953,34441,258,17603,38,64,843,49,131,5842,18,18352,80,146,866,24471,51180,6,6,143,5307,3,0,161,1,815,60,17980,127,722,6129,659,129,21781,136
102,104-7316-89_1,HGAT,5,11,141,1835,429,167,2,23,1001,10942,97,23,355,182,74,6278,19205,600,25379,140,107,3913,117,99,335,62,14035,361,27,1511,14633,30635,5,5,243,1375,33,0,943,12,669,23,27210,89,267,26149,394,10,14287,141
103,104-7316-2151_1,HGAT,3,5,3,2016,30,95,5,35,420,3608,33,47,866,33,786,920,16752,594,10867,16,663,753,1472,97,28,687,10660,7952,9,2974,9820,15964,5,5,223,477,262,3,91,103,472,14,15934,73,280,12058,440,684,10427,161
104,108-7316-3765_1,HGAT,6,6,20,1250,46,34,54,3,369,3508,33,133,160,11,325,4458,9011,95,738,116,50,3573,48,37,76,13,7532,171,4409,256,5846,11377,2849,0,53,722,0,43,202,0,207,2412,15026,24,100,5847,194,16,5212,31
105,108-7316-3022_1,HGAT,11,2,136,1936,234,20,3,12,222,1410,206,1,4442,42,439,2474,4409,63,2435,4,103,86,59,58,464,17,7032,168,393,318,5016,5789,226,0,73,4178,0,1,425,0,240,162,8603,36,497,3429,216,5,5393,68
106,108-7316-913_1,HGAT,4,1,1141,2050,2365,1731,1,5,865,9356,23,34,552,1,40,3686,16071,113,2870,36,25,620,22,71,2131,6,9093,39,95,270,16273,19311,12,2,115,2714,1,0,202,2,549,56,3303,49,701,2552,372,10,12919,79
107,108-7316-870_1,HGAT,3,4,18,7624,60,261,1,5,389,2589,21,208,343,27,20,4962,6236,117,7308,101,32,2792,28,81,49,3,3930,47,78,527,4022,8871,2,2,50,535,0,2,167,0,239,19,17467,56,106,8676,133,2,4896,50
108,108-7316-409_1,HGAT,3,1,68,1199,147,24,0,7,343,3092,72,1,1249,46,154,2056,9478,146,1257,6,116,189,19,54,232,1,4582,32,23,427,3103,10751,3,0,46,1145,0,0,167,4,241,11,4289,32,193,4462,103,1,3980,35
109,108-7316-1455_1,HGAT,3,3,144,634,252,280,2,4,96,824,32,1,1365,0,51,44,5814,2,3208,9,76,308,28,109,172,5,6446,56,18,157,5661,4797,3,1,11,871,13,0,462,3,303,23,1280,221,166,1936,252,28,3533,24
110,108-7316-466_1,HGAT,9,0,78,4938,114,17,1,7,375,1069,85,5,241,79,367,2839,8699,246,3838,11,96,106,81,8,288,2,1800,40,610,219,2016,8092,26,2,33,3365,0,0,65,0,194,196,10913,3,271,10446,95,1,2615,34
111,108-7316-445_1,HGAT,8,4,160,762,334,29,1,20,182,1263,71,26,340,15,1301,2329,8812,108,2805,27,284,988,107,260,688,33,2393,396,113,507,1898,4763,20,2,90,1814,22,0,198,15,108,34,5622,168,178,9711,80,20,1623,92
112,108-7316-2140_1,HGAT,2,1,122,270,310,13,5,0,754,4097,242,15,1766,43,371,299,15331,12,181,20,196,837,6,23,564,10,15044,73,499,276,9089,17222,84,2,2,5060,0,0,463,0,579,140,1187,14,350,8093,365,2,10926,3
113,108-7316-895_1,HGAT,1,38,2793,596,5254,44,34,175,317,1587,48,35,217,1,4653,436,7805,106,3865,70,72,1368,45,22,10842,3,5067,58,2208,511,2076,9794,1080,31,1168,857,9,12,102,1,201,1035,3436,16,406,4945,107,78,3780,945
114,108-7316-1769_1,HGAT,4,1,749,4726,1315,167,3,2,439,2308,30,3,4357,38,84,5738,6680,110,5131,2,33,131,30,26,1624,6,4408,54,283,148,4368,8054,6,1,41,1236,0,0,179,1,347,70,6134,27,261,5367,165,1,5573,32
115,108-7316-114_1,HGAT,3,1,27,2501,126,697,2,3,515,5921,38,6,1615,74,5,5360,9750,159,4781,28,25,708,78,66,93,24,9306,147,48,312,9218,16461,2,3,13,2618,0,5,264,1,399,40,6798,45,331,5194,252,22,9083,23
116,108-7316-1763_1,HGAT,3,1,389,1717,725,14,2,12,451,1884,90,70,266,48,957,7789,9364,63,840,36,187,1127,11,16,1432,3,3936,38,32,184,3388,9264,8,1,58,2136,0,0,125,0,237,25,9202,9,344,7934,161,11,4173,62
117,108-7316-1746_1,HGAT,20,2,3,719,19,2034,3,6,26541,1703,220,33,5771,4,0,8,42451,4,197,9,51,67,4,135,11,33,9755,11,8,364,856,89539,0,0,62,7093,6,0,479,0,1429,22,4303,150,2475,97,7535,5,846,38
118,112-7316-371_1,HGAT,4,8,117,2800,395,464,2,3,3310,18769,32,64,15469,16,22,13514,41729,340,13322,95,23,2449,24,72,56,32,23065,168,45,673,35693,28415,30,3,152,7033,3,0,304,3,1881,34,13164,80,727,10619,1110,31,22430,32
119,112-7316-942_1,HGAT,14,26,373,2875,1176,302,5,2,1681,6578,30,208,25572,0,70,5307,23861,377,19503,93,142,3632,45,194,204,118,20642,347,87,617,14729,15093,9,17,96,3385,18,0,1236,3,1399,71,14753,153,180,7327,512,22,14222,48
120,112-7316-2751_1,HGAT,10,94,1023,3315,1930,278,6,15,1175,7400,12,49,4834,5,306,1325,24665,232,26243,40,170,875,548,70,625,381,15651,3879,77,778,12090,19214,36,24,502,4926,91,1,403,11,995,45,6484,53,1079,7941,389,471,10982,198
121,112-7316-3303_1,HGAT,9,14,55,6259,80,773,9,6,2399,13982,18,15,34207,76,20,10225,38117,349,21840,31,83,725,64,178,17,70,71389,304,258,956,63883,28314,2,14,300,9660,4,1,311,1,3606,99,19150,109,1119,7663,1932,9,51871,91
122,112-7316-3769_1,HGAT,4,5,6883,1789,16878,349,0,0,5896,42773,8,178,2480,3,17,9972,79719,707,11712,53,26,1457,37,29,4643,33,18157,222,18,1275,33527,64342,8,0,80,5400,4,1,249,4,1451,10,125036,42,767,17554,937,14,16283,27
123,112-7316-24_1,HGAT,19,18,153,1825,752,471,16,5,1852,15732,16,38,1456,17,14,18255,39882,401,19607,31,45,1013,61,154,96,56,20610,328,36,681,35437,29015,21,21,87,7060,15,10,274,10,1717,43,8469,160,445,22226,744,40,19539,42
124,112-7316-339_1,HGAT,12,4,69,320,271,28,0,0,514,6524,26,14,3167,0,6,58,27073,16,435,20,16,120,0,12,28,13,14464,19,1,17,10054,10722,0,5,6,2030,1,7,937,1,555,11,697,22,4,698,158,11,4403,3
125,104-7316-70_1,LGAT,7,18,110,3585,194,241,0,27,1123,8357,48,35,2172,198,336,6269,20756,583,9562,48,157,1456,160,172,327,75,9556,422,8,3017,8925,25053,6,3,211,1000,49,0,248,33,486,20,88219,117,178,53540,354,57,9683,127
126,108-7316-3575_1,LGAT,3,1,2,968,2,63,0,3,261,1364,13,10,435,108,151,2245,5387,129,4397,13,86,346,66,41,15,7,2447,51,6,749,2030,6374,1,0,54,592,19,3,93,5,126,6,33598,28,86,20032,100,19,2671,39
127,108-7316-925_1,LGAT,3,1,11,532,34,17,0,0,202,1236,53,17,189,74,147,3385,4244,139,3324,10,52,311,40,15,44,2,2079,24,4,419,1572,5213,4,0,18,1472,6,0,129,4,88,9,13250,18,78,11205,72,3,1793,18
128,108-7316-1767_1,LGAT,50,2,3,1311,12,53,0,5,326,2146,30,0,359,168,7,4237,5418,114,5201,49,124,985,74,38,7,16,5041,86,44,1192,3571,9020,1,2,52,1049,0,0,149,1,200,24,19498,20,57,19596,106,0,4426,44
129,108-7316-193_1,LGAT,7,3,7,5029,20,29,0,5,258,1818,40,356,192,46,160,9450,6622,178,8512,228,121,6441,192,37,35,44,2490,488,7,943,2692,7008,1,1,55,1181,6,0,153,1,109,6,36944,13,104,8937,91,36,2617,49
130,108-7316-77_1,LGAT,4,1,275,273,464,25,0,7,248,1314,42,1,133,73,124,3362,4889,371,8419,30,90,940,158,9,942,5,2498,35,3,590,2737,8489,0,1,49,2527,6,0,448,2,186,4,22964,7,194,26169,159,5,3417,32
131,108-7316-2663_1,LGAT,26,5,2,920,5,35,2,5,276,1266,43,1,180,161,306,5673,6411,284,8847,34,157,728,157,15,7,11,2574,116,86,748,2328,8032,47,1,40,3718,16,2,129,8,156,35,17309,8,140,19459,123,4,2793,27
132,108-7316-2669_1,LGAT,9,10,10,2113,25,12,1,3,224,1413,54,0,251,102,24,8266,4494,210,4680,16,168,455,97,8,22,7,2053,94,1,508,2054,7266,1,0,30,2848,0,0,206,1,115,1,11699,3,112,11211,113,0,2335,18
133,108-7316-2723_1,LGAT,7,2,14,609,16,42,0,9,234,1607,14,73,369,39,115,3755,3688,281,4117,10,78,388,59,27,28,30,2116,184,7,572,2028,5474,1,0,54,359,1,0,184,1,113,9,16840,22,48,9354,86,17,2128,57
134,108-7316-2755_1,LGAT,5,4,6,1054,11,37,0,9,273,1457,32,1,200,108,21,6342,5539,373,8451,30,78,586,77,10,15,14,2275,85,1,800,2645,8192,0,0,28,964,2,0,231,1,162,7,20048,10,99,16673,138,2,2943,46
135,108-7316-954_1,LGAT,6,4,14,1246,37,35,11,3,408,2995,45,5,217,97,236,5457,8306,245,7594,38,67,771,64,36,47,19,4532,102,2855,590,3687,11828,1412,1,22,877,10,19,334,4,154,1467,11980,7,75,20134,123,13,4340,18
136,108-7316-84_1,LGAT,4,6,9,1121,34,55,0,5,368,2633,33,23,700,96,189,2615,7934,175,3675,19,83,369,36,67,36,13,3531,59,10,916,2898,9259,12,1,43,644,56,2,128,38,145,15,33836,47,77,22547,127,27,3537,36
137,108-7316-442_1,LGAT,13,10,9,872,33,44,0,11,153,1232,40,0,311,89,116,6819,4139,270,14313,24,87,525,116,42,29,19,3637,134,22,807,3308,6401,0,1,52,1098,12,0,215,6,196,15,15045,41,91,17612,127,0,3977,47
138,108-7316-459_1,LGAT,4,1,9,362,27,20,0,2,154,1190,30,1,957,44,40,2499,3856,194,9396,13,69,330,82,12,23,4,1667,83,6,684,1709,4607,3,0,27,438,8,0,125,0,66,9,5276,9,37,9340,63,0,1804,21
139,108-7316-391_1,LGAT,6,3,8,871,14,31,5,5,350,2061,38,0,1340,76,77,5741,7004,273,5740,3,141,152,67,18,15,9,2181,82,33,481,2339,9186,2,0,18,1169,2,1,77,0,97,23,9708,12,111,6357,94,2,2816,22
140,108-7316-944_1,LGAT,13,4,2,730,18,27,0,3,344,1768,35,1,177,78,209,1179,7700,109,10440,10,133,279,141,51,12,14,2888,82,49,459,2289,8963,0,1,42,1430,5,0,135,5,125,17,9439,28,85,13488,74,5,2989,37
141,108-7316-2154_1,LGAT,6,4,23,483,41,41,0,17,274,2308,32,2,204,17,40,1047,5217,75,7968,16,88,356,93,46,52,30,3344,233,57,958,2780,9048,3,0,103,482,9,0,403,0,129,34,1880,25,45,12406,111,3,3225,82
142,108-7316-3065_1,LGAT,3,0,5,636,24,24,0,3,246,1641,43,0,160,81,14,3685,5462,218,8728,0,60,62,111,31,26,29,2447,191,42,388,2043,7107,2,1,39,811,0,2,68,0,106,25,7296,19,91,8901,79,1,2524,24
143,108-7316-146_1,LGAT,2,2,4,1054,11,21,0,8,341,2039,51,0,500,73,14,7952,7380,278,15369,15,76,314,144,34,13,12,2723,140,20,1112,2599,9213,6,1,30,975,21,0,96,10,126,17,7836,24,95,21800,109,1,3044,28
144,108-7316-3055_1,LGAT,1,3,10,774,28,27,0,2,314,2039,33,1,155,70,12,4169,5857,222,8378,23,46,447,65,17,23,5,2738,66,4,690,2415,8262,0,2,15,886,0,0,127,2,153,6,12407,17,108,13800,89,0,2928,15
145,108-7316-3308_1,LGAT,9,6,7,545,12,23,0,4,183,1315,22,0,147,68,15,2430,3535,224,5790,12,78,221,93,16,11,14,1704,76,4,317,1643,5329,0,0,24,650,0,0,101,3,85,3,8441,11,55,9949,50,0,1972,21
146,108-7316-3062_1,LGAT,10,3,6,1406,21,42,1,2,233,1222,41,0,831,81,22,5927,4724,188,6202,8,114,256,42,18,21,4,2464,41,4,498,2139,6689,0,0,4,1237,3,0,120,1,121,20,13690,5,103,9288,127,0,2727,9
147,108-7316-2899_1,LGAT,33,4,4,898,2,47,19,7,553,3066,21,1,655,15,4050,19,8762,119,9205,118,334,5321,843,14,3,254,7138,3065,1852,705,5643,13431,883,3,31,2677,102,13,162,113,240,712,2283,10,121,32237,296,163,6877,29
148,108-7316-2664_1,LGAT,18,3,9,343,20,22,1,5,188,1561,35,16,186,23,393,626,4475,45,11683,12,344,377,588,29,23,231,1831,1894,131,482,1813,8499,10,0,48,1221,47,0,357,31,130,72,2097,11,132,6084,83,3,3086,20
149,108-7316-1851_1,LGAT,6,2,12,1087,25,43,1,3,347,2141,35,0,132,65,346,5303,10141,295,9337,9,137,149,130,21,21,26,2531,310,7,913,2808,8997,3,0,36,890,15,0,92,16,148,15,13825,11,59,10012,106,7,2803,33
150,108-7316-3555_1,LGAT,12,2,6,1166,15,36,0,3,275,1414,29,0,207,70,7,5419,4707,219,7915,18,78,325,88,10,11,11,1901,67,3,577,1927,6567,2,0,25,960,3,0,112,0,117,4,10461,7,87,10277,72,0,2244,17
151,108-7316-3556_1,LGAT,4,1,5,906,25,36,1,10,270,2013,21,25,324,40,107,4876,6334,336,5741,19,93,641,80,24,17,28,2312,98,8,707,2459,6572,2,1,62,636,4,0,230,0,120,12,15166,22,63,10016,127,17,2462,42
152,108-7316-3561_1,LGAT,4,2,5,723,11,33,1,4,188,997,29,7,189,49,118,4198,3806,297,5902,24,79,581,67,21,10,17,1587,98,16,602,1694,4278,7,1,16,517,2,0,181,3,70,18,13979,21,71,10708,63,3,1733,21
153,108-7316-3566_1,LGAT,12,3,1,937,8,58,0,4,157,1126,16,0,127,97,116,4209,4639,362,12481,25,106,418,149,18,8,7,2714,111,23,374,2643,5997,9,1,30,961,4,0,96,0,160,15,12351,10,54,13050,127,0,2853,17
154,108-7316-3570_1,LGAT,6,7,204,1444,283,31,2,2,289,1337,13,227,159,34,90,4602,4434,95,12834,124,139,3277,287,32,603,77,1791,910,62,1034,1965,6124,11,1,35,438,14,0,150,3,71,30,25802,22,63,9060,83,2,1937,40
155,108-7316-891_1,LGAT,5,1,14,768,24,51,74,3,1153,10513,72,36,585,50,12,340,14422,35,849,42,58,675,8,11,38,1,8026,24,8469,252,8411,28438,4581,1,22,1891,4,63,173,0,363,3558,22983,7,232,27353,268,6,8800,26
156,108-7316-344_1,LGAT,4,3,41,687,154,33,0,4,227,3200,32,1,216,62,50,5034,6553,154,8275,38,39,783,80,24,104,5,4894,75,3,403,3956,9096,0,0,30,616,1,0,123,0,253,9,11327,14,41,9979,117,0,4578,23
157,108-7316-217_1,LGAT,4,8,76,1996,128,46,0,28,183,1193,30,222,330,15,87,6791,4379,217,7603,213,60,4690,74,26,250,4,1847,75,10,706,1722,5676,0,3,86,486,34,0,99,38,103,4,21983,19,131,5837,75,7,2058,76
158,108-7316-368_1,LGAT,13,8,11,1781,17,53,4,13,644,3231,68,2,339,167,59,12455,9265,344,8463,61,82,914,96,29,22,13,3973,87,133,1122,4616,16546,68,5,51,1705,3,5,153,8,248,49,23910,22,228,23136,159,9,5531,34
159,108-7316-898_1,LGAT,7,7,10,1013,73,39,1,2,352,3641,42,2,1332,84,7,2969,6544,282,10554,19,92,292,133,26,48,23,3821,121,9,494,3267,8746,1,1,26,861,2,2,161,1,165,12,6439,36,79,13514,103,3,4232,24
160,108-7316-20_1,LGAT,18,2,9,1742,9,57,0,9,346,1886,32,2,218,122,38,5459,5926,334,8986,44,230,840,113,10,5,4,2212,55,4,654,2435,9702,3,1,22,1634,1,0,173,2,169,14,24180,7,148,19929,109,0,3081,18
161,108-7316-235_1,LGAT,6,4,30,864,89,36,0,9,369,2667,55,5,295,37,25,599,6319,70,6590,11,96,431,70,26,84,4,3138,55,2,372,2471,11390,0,0,29,1076,4,0,228,3,137,6,2042,20,127,4328,84,0,3450,27
162,108-7316-162_1,LGAT,4,2,4,563,9,50,0,4,176,1182,30,7,311,73,55,2900,3472,204,5657,21,45,410,68,18,15,16,2136,94,7,613,1887,4957,0,0,18,470,4,0,142,3,100,5,19100,14,35,11543,56,3,2358,20
163,108-7316-148_1,LGAT,4,1,6,1096,10,50,2,4,243,1166,9,24,525,92,270,4351,4868,213,6476,59,233,1390,748,61,10,235,1873,3048,13,917,1884,5689,2,0,27,658,18,0,62,13,91,9,27298,49,94,16731,83,161,2209,26
164,108-7316-168_1,LGAT,6,1,3,658,7,37,1,4,244,1356,40,2,571,99,7,4902,5058,182,10421,18,61,400,86,18,11,14,2540,74,3,602,1967,7273,0,0,26,757,1,0,128,2,112,8,12781,17,99,15633,87,0,2691,20
165,108-7316-472_1,LGAT,16,9,13,1784,19,43,0,4,355,2170,20,21,178,74,206,8147,7351,350,12589,24,37,681,110,24,26,7,2921,43,29,942,3100,10422,9,0,42,993,22,0,63,5,166,7,13069,12,118,14967,126,2,3206,30
166,108-7316-175_1,LGAT,23,23,35,423,30,41,34,51,369,1942,66,26,417,122,39,4639,6643,162,17694,35,105,537,231,83,40,68,2922,269,26,972,2374,9081,41,20,114,634,32,24,112,37,137,43,7624,78,92,20274,133,32,2536,90
167,108-7316-449_1,LGAT,4,5,12,711,17,39,0,24,266,1994,12,18,415,37,136,2895,6869,138,5440,11,97,471,73,49,18,9,2607,105,7,821,2507,7296,2,0,118,534,9,0,229,5,131,10,15348,27,67,14533,102,22,2633,83
168,108-7316-495_1,LGAT,10,5,8,902,19,30,0,1,238,1484,38,2,153,68,89,4315,4286,180,5825,25,116,411,111,17,13,2,1961,56,5,517,1830,6825,2,0,12,1080,7,0,294,2,103,10,13636,17,75,12396,85,13,2299,14
169,108-7316-1845_1,LGAT,16,3,14,2648,41,58,1,2,179,2038,42,2,1547,141,10,5654,3882,247,6570,22,86,742,99,32,45,6,3201,66,6,345,4215,6182,0,0,38,1129,0,0,301,1,218,8,10193,35,56,7744,140,0,4822,12
170,108-7316-222_1,LGAT,19,4,7,2168,14,45,1,5,258,1580,65,0,1915,67,14,4792,6677,222,9246,26,143,474,117,33,12,25,3207,168,19,1393,3252,7832,1,0,27,1318,4,0,324,4,226,15,11302,12,115,12292,143,0,4359,23
171,108-7316-332_1,LGAT,8,6,5,1308,9,54,1,10,381,1550,40,0,249,84,16,8012,5741,235,6473,17,86,371,88,14,16,6,2333,66,5,621,2283,9699,1,2,17,1229,2,1,87,2,167,11,16228,6,112,13554,99,1,2884,14
172,108-7316-121_1,LGAT,11,3,10,1240,13,51,0,5,330,1636,31,1,198,100,9,7803,6394,260,11278,35,91,421,126,9,14,24,2223,122,6,846,2522,8876,3,0,40,1071,6,0,168,5,144,6,12718,6,86,17153,105,0,2834,29
173,108-7316-957_1,LGAT,17,8,12,1892,33,73,1,10,588,3282,103,0,2739,230,20,13835,14221,399,18151,34,199,983,233,40,27,24,5804,163,14,1797,4772,16654,1,2,65,2257,13,0,315,12,290,15,21808,24,160,36010,226,0,6140,60
174,108-7316-499_1,LGAT,18,6,9,797,17,44,0,3,367,1706,44,2,172,121,67,570,7702,147,14824,16,109,294,187,30,15,13,2850,121,6,494,2008,8527,0,4,20,1201,29,1,194,15,157,8,5239,24,68,3976,66,2,3057,13
175,108-7316-345_1,LGAT,10,9,2,1277,5,40,0,5,389,1709,41,1,166,143,12,9478,6805,402,12650,40,82,865,107,16,6,19,2762,178,2,872,2956,11266,1,0,26,959,0,0,114,2,189,9,24764,15,135,22333,139,1,3892,24
176,108-7316-932_1,LGAT,2,0,9,555,13,43,2,8,356,2309,28,8,150,55,153,522,6852,107,12347,11,58,394,84,76,32,10,2320,69,15,1333,2479,8369,1,1,79,388,17,0,42,15,87,15,3950,35,59,15833,73,1,2516,59
177,108-7316-2172_1,LGAT,5,10,5,961,42,35,0,3,279,1561,20,2,169,99,16,4564,4767,327,12869,5,70,344,87,22,24,8,1949,82,1,810,2322,8017,5,3,30,571,4,0,206,8,125,12,14127,10,108,13959,97,0,2788,27
178,108-7316-2184_1,LGAT,6,8,2,1652,9,46,0,9,382,2207,27,1,215,107,22,8610,7834,218,10728,22,49,688,84,27,16,16,3341,104,28,1294,3482,9954,8,1,35,897,4,0,85,1,177,25,14998,10,171,20173,128,1,3932,28
179,108-7316-485_1,LGAT,4,6,0,791,9,41,0,4,324,1846,31,0,376,104,33,3686,7840,267,13473,16,64,405,81,22,10,14,3505,79,10,1096,2789,9636,7,2,34,629,13,0,74,6,174,11,12266,24,70,13630,110,2,3269,30
180,108-7316-880_1,LGAT,0,1,420,727,1015,23,0,4,426,2369,37,27,223,5,366,678,9209,207,3766,20,9,740,26,27,1490,10,3091,50,19,405,4022,8565,5,1,35,601,8,0,19,2,178,5,5905,12,152,16809,177,1,3426,23
181,108-7316-362_1,LGAT,8,5,7,666,12,43,2,9,333,2267,23,12,268,91,22,4045,5874,210,8135,38,81,1030,115,61,21,36,2947,257,98,800,3000,9106,8,1,83,500,6,0,132,3,133,38,9151,32,66,16941,125,3,3084,64
182,108-7316-117_1,LGAT,6,4,16,544,64,35,0,5,223,1672,27,0,148,93,38,3839,5180,205,11293,30,86,765,113,19,51,1,2889,29,4,495,2321,7112,0,0,26,949,10,0,137,5,116,7,17826,14,80,16952,124,2,2971,24
183,108-7316-134_1,LGAT,7,4,11,1000,31,43,0,6,240,2032,33,0,270,68,44,7966,5366,296,9910,19,87,700,146,28,19,35,2677,294,11,618,2816,8405,4,3,48,772,8,0,170,3,162,12,11372,18,199,10425,104,6,3160,45
184,108-7316-2195_1,LGAT,4,3,17,3242,28,68,2,5,317,2094,17,513,276,19,101,10987,6497,255,3297,310,82,8400,156,83,35,61,2482,572,7,761,2970,7530,3,0,70,384,20,0,344,10,131,8,28196,45,87,8484,125,104,2349,46
