Sample_ID,cluster
7316-101,2
7316-120,1
7316-156,1
7316-1793,1
7316-1854,2
7316-230,1
7316-2760,2
7316-2901,1
7316-3060,2
7316-319,2
7316-321,2
7316-3572,2
7316-359,1
7316-373,2
7316-452,1
7316-893,1
7316-905,2
7316-91,1
7316-914,1
